frame_idx,width
0,66
1,65
2,62
3,60
4,55
5,56
6,53
7,50
8,48
9,50
10,48
11,49
12,46
13,18
14,15
15,11
16,11
17,10
18,48
19,47
20,16
21,16
22,11
23,12
24,12
25,15
26,11
27,11
28,10
29,12
30,12
31,15
32,12
33,18
34,18
35,18
