measurement_idx	export_frame	x_pos	y_pos	frame
1	drying_20C_frames:frame001	174	368	0
4	drying_20C_frames:frame142	173.500000000	264.500000000	1
5	drying_20C_frames:frame142	173.500000000	264.500000000	2
6	drying_20C_frames:frame142	172.500000000	267.500000000	3
7	drying_20C_frames:frame142	173.500000000	267.500000000	4
8	drying_20C_frames:frame142	173.500000000	268.500000000	5
9	drying_20C_frames:frame142	174.500000000	268.500000000	6
10	drying_20C_frames:frame142	174.500000000	270.500000000	7
11	drying_20C_frames:frame142	173.500000000	269.500000000	8
12	drying_20C_frames:frame142	172.500000000	271.500000000	9
13	drying_20C_frames:frame142	172.500000000	270.500000000	10
14	drying_20C_frames:frame142	174.500000000	273.500000000	11
15	drying_20C_frames:frame142	172.500000000	272.500000000	12
16	drying_20C_frames:frame142	173.500000000	274.500000000	13
17	drying_20C_frames:frame142	172.500000000	274.500000000	14
18	drying_20C_frames:frame142	174.500000000	274.500000000	15
19	drying_20C_frames:frame142	173.500000000	277.500000000	16
20	drying_20C_frames:frame142	172.500000000	278.500000000	17
21	drying_20C_frames:frame142	172.500000000	279.500000000	18
22	drying_20C_frames:frame142	173.500000000	280.500000000	19
23	drying_20C_frames:frame142	172.500000000	280.500000000	20
24	drying_20C_frames:frame142	171.500000000	279.500000000	21
25	drying_20C_frames:frame142	172.500000000	281.500000000	22
26	drying_20C_frames:frame142	173.500000000	281.500000000	23
27	drying_20C_frames:frame142	173.500000000	282.500000000	24
28	drying_20C_frames:frame142	174.500000000	282.500000000	25
29	drying_20C_frames:frame142	174.500000000	284.500000000	26
30	drying_20C_frames:frame142	173.500000000	285.500000000	27
31	drying_20C_frames:frame142	172.500000000	284.500000000	28
32	drying_20C_frames:frame142	172.500000000	285.500000000	29
33	drying_20C_frames:frame142	174.500000000	286.500000000	30
34	drying_20C_frames:frame142	173.500000000	287.500000000	31
35	drying_20C_frames:frame142	172.500000000	287.500000000	32
36	drying_20C_frames:frame142	173.500000000	288.500000000	33
37	drying_20C_frames:frame142	172.500000000	288.500000000	34
38	drying_20C_frames:frame142	174.500000000	288.500000000	35
39	drying_20C_frames:frame142	174.500000000	292.500000000	36
40	drying_20C_frames:frame142	174.500000000	293.500000000	37
41	drying_20C_frames:frame142	173.500000000	293.500000000	38
42	drying_20C_frames:frame142	172.500000000	294.500000000	39
43	drying_20C_frames:frame142	172.500000000	296.500000000	40
44	drying_20C_frames:frame142	173.500000000	296.500000000	41
45	drying_20C_frames:frame142	173.500000000	296.500000000	42
46	drying_20C_frames:frame142	172.500000000	297.500000000	43
47	drying_20C_frames:frame142	173.500000000	298.500000000	44
48	drying_20C_frames:frame142	173.500000000	299.500000000	45
49	drying_20C_frames:frame142	173.500000000	301.500000000	46
50	drying_20C_frames:frame142	173.500000000	302.500000000	47
51	drying_20C_frames:frame142	173.500000000	302.500000000	48
52	drying_20C_frames:frame142	173.500000000	303.500000000	49
53	drying_20C_frames:frame142	173.500000000	304.500000000	50
54	drying_20C_frames:frame142	172.500000000	304.500000000	51
55	drying_20C_frames:frame142	172.500000000	304.500000000	52
56	drying_20C_frames:frame142	172.500000000	305.500000000	53
57	drying_20C_frames:frame142	173.500000000	305.500000000	54
58	drying_20C_frames:frame142	173.500000000	306.500000000	55
59	drying_20C_frames:frame142	173.500000000	308.500000000	56
60	drying_20C_frames:frame142	174.500000000	309.500000000	57
61	drying_20C_frames:frame142	173.500000000	310.500000000	58
62	drying_20C_frames:frame142	173.500000000	309.500000000	59
63	drying_20C_frames:frame142	173.500000000	311.500000000	60
64	drying_20C_frames:frame142	172.500000000	311.500000000	61
65	drying_20C_frames:frame142	172.500000000	311.500000000	62
66	drying_20C_frames:frame142	172.500000000	310.500000000	63
67	drying_20C_frames:frame142	172.500000000	312.500000000	64
68	drying_20C_frames:frame142	172.500000000	312.500000000	65
69	drying_20C_frames:frame142	173.500000000	312.500000000	66
70	drying_20C_frames:frame142	173.500000000	313.500000000	67
71	drying_20C_frames:frame142	173.500000000	313.500000000	68
72	drying_20C_frames:frame142	172.500000000	313.500000000	69
73	drying_20C_frames:frame142	172.500000000	314.500000000	70
74	drying_20C_frames:frame142	172.500000000	314.500000000	71
75	drying_20C_frames:frame142	174.500000000	314.500000000	72
76	drying_20C_frames:frame142	174.500000000	316.500000000	73
77	drying_20C_frames:frame142	174.500000000	316.500000000	74
78	drying_20C_frames:frame142	173.500000000	316.500000000	75
79	drying_20C_frames:frame142	173.500000000	316.500000000	76
80	drying_20C_frames:frame142	173.500000000	316.500000000	77
81	drying_20C_frames:frame142	173.500000000	317.500000000	78
82	drying_20C_frames:frame142	173.500000000	318.500000000	79
83	drying_20C_frames:frame142	173.500000000	317.500000000	80
84	drying_20C_frames:frame142	173.500000000	319.500000000	81
85	drying_20C_frames:frame142	172.500000000	317.500000000	82
86	drying_20C_frames:frame142	172.500000000	317.500000000	83
87	drying_20C_frames:frame142	174.500000000	318.500000000	84
88	drying_20C_frames:frame142	172.500000000	318.500000000	85
89	drying_20C_frames:frame142	172.500000000	319.500000000	86
90	drying_20C_frames:frame142	174.500000000	319.500000000	87
91	drying_20C_frames:frame142	174.500000000	319.500000000	88
92	drying_20C_frames:frame142	174.500000000	320.500000000	89
93	drying_20C_frames:frame142	174.500000000	320.500000000	90
94	drying_20C_frames:frame142	174.500000000	320.500000000	91
95	drying_20C_frames:frame142	173.500000000	322.500000000	92
96	drying_20C_frames:frame142	173.500000000	322.500000000	93
97	drying_20C_frames:frame142	173.500000000	322.500000000	94
98	drying_20C_frames:frame142	173.500000000	323.500000000	95
99	drying_20C_frames:frame142	172.500000000	321.500000000	96
100	drying_20C_frames:frame142	172.500000000	322.500000000	97
101	drying_20C_frames:frame142	172.500000000	322.500000000	98
102	drying_20C_frames:frame142	171.500000000	323.500000000	99
103	drying_20C_frames:frame142	171.500000000	324.500000000	100
104	drying_20C_frames:frame142	172.500000000	324.500000000	101
105	drying_20C_frames:frame142	172.500000000	324.500000000	102
106	drying_20C_frames:frame142	172.500000000	324.500000000	103
107	drying_20C_frames:frame142	172.500000000	324.500000000	104
108	drying_20C_frames:frame142	172.500000000	324.500000000	105
109	drying_20C_frames:frame142	173.500000000	325.500000000	106
110	drying_20C_frames:frame142	173.500000000	325.500000000	107
111	drying_20C_frames:frame142	173.500000000	327.500000000	108
112	drying_20C_frames:frame142	173.500000000	327.500000000	109
113	drying_20C_frames:frame142	173.500000000	327.500000000	111
114	drying_20C_frames:frame142	173.500000000	327.500000000	110
115	drying_20C_frames:frame142	173.500000000	327.500000000	112
116	drying_20C_frames:frame142	173.500000000	327.500000000	113
117	drying_20C_frames:frame142	173.500000000	328.500000000	114
118	drying_20C_frames:frame142	173.500000000	328.500000000	115
119	drying_20C_frames:frame142	173.500000000	328.500000000	116
120	drying_20C_frames:frame142	173.500000000	328.500000000	117
121	drying_20C_frames:frame142	174.500000000	330.500000000	118
122	drying_20C_frames:frame142	174.500000000	330.500000000	119
123	drying_20C_frames:frame142	174.500000000	329.500000000	120
124	drying_20C_frames:frame142	173.500000000	329.500000000	121
125	drying_20C_frames:frame142	173.500000000	331.500000000	122
126	drying_20C_frames:frame142	173.500000000	331.500000000	123
127	drying_20C_frames:frame142	173.500000000	332.500000000	124
128	drying_20C_frames:frame142	173.500000000	334.500000000	125
129	drying_20C_frames:frame142	173.500000000	334.500000000	126
130	drying_20C_frames:frame142	174.500000000	330.500000000	127
131	drying_20C_frames:frame142	174.500000000	333.500000000	128
132	drying_20C_frames:frame142	174.500000000	333.500000000	129
133	drying_20C_frames:frame142	174.500000000	333.500000000	130
134	drying_20C_frames:frame142	174.500000000	333.500000000	131
135	drying_20C_frames:frame142	174.500000000	334.500000000	132
136	drying_20C_frames:frame142	174.500000000	334.500000000	133
137	drying_20C_frames:frame142	173.500000000	336.500000000	134
138	drying_20C_frames:frame142	173.500000000	336.500000000	135
139	drying_20C_frames:frame142	173.500000000	336.500000000	136
140	drying_20C_frames:frame142	173.500000000	336.500000000	137
141	drying_20C_frames:frame142	173.500000000	336.500000000	138
142	drying_20C_frames:frame142	173.500000000	336.500000000	139
143	drying_20C_frames:frame142	173.500000000	336.500000000	139
144	drying_20C_frames:frame142	173.500000000	338.500000000	140
145	drying_20C_frames:frame142	173.500000000	338.500000000	141
146	drying_20C_frames:frame142	173.500000000	339.500000000	142
