measurement_idx	export_frame	x_pos	y_pos	frame
295	drying_20C_frames:frame001	504.500000000	364.500000000	0
296	drying_20C_frames:frame001	504.500000000	337.500000000	1
297	drying_20C_frames:frame001	504.500000000	338.500000000	2
298	drying_20C_frames:frame001	505.500000000	339.500000000	3
299	drying_20C_frames:frame001	504.500000000	339.500000000	4
300	drying_20C_frames:frame001	505.500000000	339.500000000	5
301	drying_20C_frames:frame001	505.500000000	340.500000000	6
302	drying_20C_frames:frame001	505.500000000	342.500000000	7
303	drying_20C_frames:frame001	505.500000000	342.500000000	8
304	drying_20C_frames:frame001	505.500000000	342.500000000	9
305	drying_20C_frames:frame001	505.500000000	342.500000000	10
306	drying_20C_frames:frame001	505.500000000	342.500000000	11
307	drying_20C_frames:frame001	505.500000000	342.500000000	12
308	drying_20C_frames:frame001	505.500000000	342.500000000	13
309	drying_20C_frames:frame001	505.500000000	342.500000000	14
310	drying_20C_frames:frame001	505.500000000	342.500000000	15
311	drying_20C_frames:frame001	505.500000000	342.500000000	16
312	drying_20C_frames:frame001	505.500000000	342.500000000	17
313	drying_20C_frames:frame001	505.500000000	342.500000000	18
314	drying_20C_frames:frame001	505.500000000	341.500000000	19
315	drying_20C_frames:frame001	505.500000000	341.500000000	20
316	drying_20C_frames:frame001	505.500000000	341.500000000	21
317	drying_20C_frames:frame001	505.500000000	341.500000000	22
318	drying_20C_frames:frame001	505.500000000	341.500000000	23
319	drying_20C_frames:frame001	505.500000000	341.500000000	24
320	drying_20C_frames:frame001	505.500000000	341.500000000	25
321	drying_20C_frames:frame001	505.500000000	341.500000000	26
322	drying_20C_frames:frame001	505.500000000	341.500000000	27
323	drying_20C_frames:frame001	505.500000000	341.500000000	28
324	drying_20C_frames:frame001	505.500000000	341.500000000	29
325	drying_20C_frames:frame001	505.500000000	341.500000000	30
326	drying_20C_frames:frame001	505.500000000	341.500000000	31
327	drying_20C_frames:frame001	505.500000000	341.500000000	32
328	drying_20C_frames:frame001	505.500000000	341.500000000	33
329	drying_20C_frames:frame001	505.500000000	341.500000000	34
330	drying_20C_frames:frame001	505.500000000	341.500000000	35
331	drying_20C_frames:frame001	505.500000000	341.500000000	36
332	drying_20C_frames:frame001	505.500000000	341.500000000	37
333	drying_20C_frames:frame001	505.500000000	341.500000000	38
334	drying_20C_frames:frame001	505.500000000	341.500000000	39
335	drying_20C_frames:frame001	505.500000000	341.500000000	40
336	drying_20C_frames:frame001	505.500000000	341.500000000	41
337	drying_20C_frames:frame001	505.500000000	341.500000000	42
338	drying_20C_frames:frame001	505.500000000	341.500000000	43
339	drying_20C_frames:frame001	505.500000000	341.500000000	44
340	drying_20C_frames:frame001	505.500000000	341.500000000	45
341	drying_20C_frames:frame001	505.500000000	341.500000000	46
342	drying_20C_frames:frame001	505.500000000	341.500000000	47
343	drying_20C_frames:frame001	505.500000000	341.500000000	48
344	drying_20C_frames:frame001	505.500000000	341.500000000	49
345	drying_20C_frames:frame001	505.500000000	341.500000000	50
346	drying_20C_frames:frame001	505.500000000	341.500000000	51
347	drying_20C_frames:frame001	505.500000000	341.500000000	52
348	drying_20C_frames:frame001	505.500000000	341.500000000	53
349	drying_20C_frames:frame001	505.500000000	341.500000000	54
350	drying_20C_frames:frame001	505.500000000	341.500000000	55
351	drying_20C_frames:frame001	505.500000000	341.500000000	56
352	drying_20C_frames:frame001	505.500000000	341.500000000	57
353	drying_20C_frames:frame001	505.500000000	341.500000000	58
354	drying_20C_frames:frame001	505.500000000	341.500000000	59
355	drying_20C_frames:frame001	505.500000000	341.500000000	60
356	drying_20C_frames:frame001	505.500000000	341.500000000	61
357	drying_20C_frames:frame001	505.500000000	341.500000000	62
358	drying_20C_frames:frame001	505.500000000	341.500000000	63
359	drying_20C_frames:frame001	505.500000000	341.500000000	64
360	drying_20C_frames:frame001	505.500000000	341.500000000	65
361	drying_20C_frames:frame001	505.500000000	341.500000000	66
362	drying_20C_frames:frame001	505.500000000	341.500000000	67
363	drying_20C_frames:frame001	505.500000000	341.500000000	68
364	drying_20C_frames:frame001	505.500000000	341.500000000	69
365	drying_20C_frames:frame001	505.500000000	341.500000000	70
366	drying_20C_frames:frame001	505.500000000	341.500000000	71
367	drying_20C_frames:frame001	505.500000000	341.500000000	72
368	drying_20C_frames:frame001	505.500000000	341.500000000	73
369	drying_20C_frames:frame001	505.500000000	341.500000000	74
370	drying_20C_frames:frame001	505.500000000	341.500000000	75
371	drying_20C_frames:frame001	505.500000000	341.500000000	76
