minutes,x,y
0.000000000000000000e+00,1.670000000000000000e+02,3.850000000000000000e+02
1.000000000000000000e+00,1.700000000000000000e+02,3.800000000000000000e+02
2.000000000000000000e+00,1.680000000000000000e+02,3.810000000000000000e+02
3.000000000000000000e+00,1.680000000000000000e+02,3.790000000000000000e+02
4.000000000000000000e+00,1.700000000000000000e+02,3.810000000000000000e+02
5.000000000000000000e+00,1.690000000000000000e+02,3.840000000000000000e+02
6.000000000000000000e+00,1.720000000000000000e+02,3.830000000000000000e+02
7.000000000000000000e+00,1.700000000000000000e+02,3.820000000000000000e+02
8.000000000000000000e+00,1.670000000000000000e+02,3.800000000000000000e+02
9.000000000000000000e+00,1.650000000000000000e+02,3.790000000000000000e+02
1.000000000000000000e+01,1.910000000000000000e+02,3.770000000000000000e+02
1.100000000000000000e+01,1.670000000000000000e+02,3.770000000000000000e+02
1.200000000000000000e+01,1.630000000000000000e+02,3.790000000000000000e+02
1.300000000000000000e+01,1.500000000000000000e+02,3.720000000000000000e+02
1.400000000000000000e+01,1.590000000000000000e+02,3.760000000000000000e+02
1.500000000000000000e+01,1.560000000000000000e+02,3.750000000000000000e+02
1.600000000000000000e+01,1.530000000000000000e+02,3.770000000000000000e+02
1.700000000000000000e+01,1.480000000000000000e+02,3.760000000000000000e+02
1.800000000000000000e+01,1.460000000000000000e+02,3.750000000000000000e+02
1.900000000000000000e+01,1.420000000000000000e+02,3.730000000000000000e+02
2.000000000000000000e+01,1.380000000000000000e+02,3.720000000000000000e+02
2.100000000000000000e+01,1.350000000000000000e+02,3.720000000000000000e+02
2.200000000000000000e+01,1.280000000000000000e+02,3.710000000000000000e+02
2.300000000000000000e+01,1.250000000000000000e+02,3.700000000000000000e+02
2.400000000000000000e+01,1.180000000000000000e+02,3.700000000000000000e+02
2.500000000000000000e+01,1.160000000000000000e+02,3.660000000000000000e+02
2.600000000000000000e+01,1.280000000000000000e+02,3.690000000000000000e+02
2.700000000000000000e+01,1.060000000000000000e+02,3.610000000000000000e+02
2.800000000000000000e+01,9.700000000000000000e+01,3.590000000000000000e+02
2.900000000000000000e+01,9.300000000000000000e+01,3.570000000000000000e+02
3.000000000000000000e+01,8.700000000000000000e+01,3.550000000000000000e+02
3.100000000000000000e+01,7.700000000000000000e+01,3.530000000000000000e+02
3.200000000000000000e+01,6.900000000000000000e+01,3.500000000000000000e+02
3.300000000000000000e+01,6.100000000000000000e+01,3.460000000000000000e+02
3.400000000000000000e+01,5.300000000000000000e+01,3.400000000000000000e+02
3.500000000000000000e+01,4.500000000000000000e+01,3.360000000000000000e+02
3.600000000000000000e+01,3.400000000000000000e+01,3.290000000000000000e+02
3.700000000000000000e+01,2.300000000000000000e+01,3.230000000000000000e+02
3.800000000000000000e+01,1.200000000000000000e+01,3.190000000000000000e+02
3.900000000000000000e+01,0.000000000000000000e+00,3.020000000000000000e+02
