minutes,x,y
0.000000000000000000e+00,2.580000000000000000e+02,3.200000000000000000e+02
1.000000000000000000e+00,2.630000000000000000e+02,3.220000000000000000e+02
2.000000000000000000e+00,2.630000000000000000e+02,3.180000000000000000e+02
3.000000000000000000e+00,2.810000000000000000e+02,3.170000000000000000e+02
4.000000000000000000e+00,2.630000000000000000e+02,3.160000000000000000e+02
5.000000000000000000e+00,2.830000000000000000e+02,3.180000000000000000e+02
6.000000000000000000e+00,2.670000000000000000e+02,3.160000000000000000e+02
7.000000000000000000e+00,2.860000000000000000e+02,3.170000000000000000e+02
8.000000000000000000e+00,2.870000000000000000e+02,3.130000000000000000e+02
9.000000000000000000e+00,2.920000000000000000e+02,3.150000000000000000e+02
1.000000000000000000e+01,2.920000000000000000e+02,3.130000000000000000e+02
1.100000000000000000e+01,2.950000000000000000e+02,3.130000000000000000e+02
1.200000000000000000e+01,2.990000000000000000e+02,3.100000000000000000e+02
1.300000000000000000e+01,2.930000000000000000e+02,3.100000000000000000e+02
1.400000000000000000e+01,3.110000000000000000e+02,3.090000000000000000e+02
1.500000000000000000e+01,3.170000000000000000e+02,3.040000000000000000e+02
1.600000000000000000e+01,3.120000000000000000e+02,3.040000000000000000e+02
1.700000000000000000e+01,3.300000000000000000e+02,3.000000000000000000e+02
1.800000000000000000e+01,3.350000000000000000e+02,2.990000000000000000e+02
1.900000000000000000e+01,3.360000000000000000e+02,2.990000000000000000e+02
2.000000000000000000e+01,3.370000000000000000e+02,2.950000000000000000e+02
2.100000000000000000e+01,3.390000000000000000e+02,2.930000000000000000e+02
2.200000000000000000e+01,3.370000000000000000e+02,2.910000000000000000e+02
2.300000000000000000e+01,3.410000000000000000e+02,2.870000000000000000e+02
2.400000000000000000e+01,3.580000000000000000e+02,2.830000000000000000e+02
2.500000000000000000e+01,3.540000000000000000e+02,2.800000000000000000e+02
2.600000000000000000e+01,3.330000000000000000e+02,2.820000000000000000e+02
2.700000000000000000e+01,2.960000000000000000e+02,2.820000000000000000e+02
2.800000000000000000e+01,2.630000000000000000e+02,2.800000000000000000e+02
2.900000000000000000e+01,2.500000000000000000e+02,2.730000000000000000e+02
3.000000000000000000e+01,2.560000000000000000e+02,2.650000000000000000e+02
3.100000000000000000e+01,2.910000000000000000e+02,2.520000000000000000e+02
3.200000000000000000e+01,3.350000000000000000e+02,3.060000000000000000e+02
3.300000000000000000e+01,4.220000000000000000e+02,4.030000000000000000e+02
3.400000000000000000e+01,5.210000000000000000e+02,4.250000000000000000e+02
3.500000000000000000e+01,6.200000000000000000e+02,4.250000000000000000e+02
3.600000000000000000e+01,6.390000000000000000e+02,4.250000000000000000e+02
3.700000000000000000e+01,6.390000000000000000e+02,4.250000000000000000e+02
3.800000000000000000e+01,6.390000000000000000e+02,4.250000000000000000e+02
3.900000000000000000e+01,6.390000000000000000e+02,4.250000000000000000e+02
4.000000000000000000e+01,6.390000000000000000e+02,4.250000000000000000e+02
4.100000000000000000e+01,6.390000000000000000e+02,4.250000000000000000e+02
4.200000000000000000e+01,6.390000000000000000e+02,4.250000000000000000e+02
4.300000000000000000e+01,6.390000000000000000e+02,4.250000000000000000e+02
