minutes,x,y
0.000000000000000000e+00,3.200000000000000000e+02,3.520000000000000000e+02
1.000000000000000000e+00,3.180000000000000000e+02,3.530000000000000000e+02
2.000000000000000000e+00,3.170000000000000000e+02,3.530000000000000000e+02
3.000000000000000000e+00,3.160000000000000000e+02,3.520000000000000000e+02
4.000000000000000000e+00,3.150000000000000000e+02,3.520000000000000000e+02
5.000000000000000000e+00,3.160000000000000000e+02,3.510000000000000000e+02
6.000000000000000000e+00,3.160000000000000000e+02,3.490000000000000000e+02
7.000000000000000000e+00,3.140000000000000000e+02,3.490000000000000000e+02
8.000000000000000000e+00,3.130000000000000000e+02,3.490000000000000000e+02
9.000000000000000000e+00,3.120000000000000000e+02,3.490000000000000000e+02
1.000000000000000000e+01,3.110000000000000000e+02,3.450000000000000000e+02
1.100000000000000000e+01,3.100000000000000000e+02,3.460000000000000000e+02
1.200000000000000000e+01,3.090000000000000000e+02,3.450000000000000000e+02
1.300000000000000000e+01,3.090000000000000000e+02,3.430000000000000000e+02
1.400000000000000000e+01,3.080000000000000000e+02,3.430000000000000000e+02
1.500000000000000000e+01,3.070000000000000000e+02,3.410000000000000000e+02
1.600000000000000000e+01,3.060000000000000000e+02,3.400000000000000000e+02
1.700000000000000000e+01,3.040000000000000000e+02,3.360000000000000000e+02
1.800000000000000000e+01,3.020000000000000000e+02,3.350000000000000000e+02
1.900000000000000000e+01,3.010000000000000000e+02,3.300000000000000000e+02
2.000000000000000000e+01,2.980000000000000000e+02,3.260000000000000000e+02
2.100000000000000000e+01,2.950000000000000000e+02,3.250000000000000000e+02
2.200000000000000000e+01,3.100000000000000000e+02,3.250000000000000000e+02
2.300000000000000000e+01,2.990000000000000000e+02,3.200000000000000000e+02
2.400000000000000000e+01,2.960000000000000000e+02,3.160000000000000000e+02
2.500000000000000000e+01,3.110000000000000000e+02,3.180000000000000000e+02
2.600000000000000000e+01,3.130000000000000000e+02,3.130000000000000000e+02
2.700000000000000000e+01,3.000000000000000000e+02,3.070000000000000000e+02
2.800000000000000000e+01,2.980000000000000000e+02,3.010000000000000000e+02
2.900000000000000000e+01,3.030000000000000000e+02,2.960000000000000000e+02
3.000000000000000000e+01,3.070000000000000000e+02,2.880000000000000000e+02
3.100000000000000000e+01,3.090000000000000000e+02,2.800000000000000000e+02
3.200000000000000000e+01,3.160000000000000000e+02,2.690000000000000000e+02
3.300000000000000000e+01,3.240000000000000000e+02,2.550000000000000000e+02
3.400000000000000000e+01,3.320000000000000000e+02,2.410000000000000000e+02
3.500000000000000000e+01,3.410000000000000000e+02,2.230000000000000000e+02
3.600000000000000000e+01,3.670000000000000000e+02,2.080000000000000000e+02
3.700000000000000000e+01,3.910000000000000000e+02,1.880000000000000000e+02
3.800000000000000000e+01,4.310000000000000000e+02,1.670000000000000000e+02
3.900000000000000000e+01,4.670000000000000000e+02,1.470000000000000000e+02
4.000000000000000000e+01,4.870000000000000000e+02,1.370000000000000000e+02
4.100000000000000000e+01,4.950000000000000000e+02,1.220000000000000000e+02
4.200000000000000000e+01,5.010000000000000000e+02,9.500000000000000000e+01
4.300000000000000000e+01,5.110000000000000000e+02,5.100000000000000000e+01
4.400000000000000000e+01,5.250000000000000000e+02,1.100000000000000000e+01
4.500000000000000000e+01,3.960000000000000000e+02,5.000000000000000000e+00
4.600000000000000000e+01,3.970000000000000000e+02,5.000000000000000000e+00
4.700000000000000000e+01,3.960000000000000000e+02,5.000000000000000000e+00
