minutes,x,y
0.000000000000000000e+00,2.480000000000000000e+02,3.550000000000000000e+02
1.000000000000000000e+00,2.440000000000000000e+02,3.540000000000000000e+02
2.000000000000000000e+00,2.410000000000000000e+02,3.550000000000000000e+02
3.000000000000000000e+00,2.390000000000000000e+02,3.540000000000000000e+02
4.000000000000000000e+00,2.390000000000000000e+02,3.530000000000000000e+02
5.000000000000000000e+00,2.380000000000000000e+02,3.520000000000000000e+02
6.000000000000000000e+00,2.360000000000000000e+02,3.520000000000000000e+02
7.000000000000000000e+00,2.370000000000000000e+02,3.510000000000000000e+02
8.000000000000000000e+00,2.360000000000000000e+02,3.500000000000000000e+02
9.000000000000000000e+00,2.350000000000000000e+02,3.500000000000000000e+02
1.000000000000000000e+01,2.340000000000000000e+02,3.490000000000000000e+02
1.100000000000000000e+01,2.340000000000000000e+02,3.470000000000000000e+02
1.200000000000000000e+01,2.330000000000000000e+02,3.460000000000000000e+02
1.300000000000000000e+01,2.280000000000000000e+02,3.440000000000000000e+02
1.400000000000000000e+01,2.270000000000000000e+02,3.420000000000000000e+02
1.500000000000000000e+01,2.270000000000000000e+02,3.390000000000000000e+02
1.600000000000000000e+01,2.230000000000000000e+02,3.360000000000000000e+02
1.700000000000000000e+01,2.190000000000000000e+02,3.320000000000000000e+02
1.800000000000000000e+01,2.690000000000000000e+02,3.330000000000000000e+02
1.900000000000000000e+01,2.690000000000000000e+02,3.280000000000000000e+02
2.000000000000000000e+01,2.180000000000000000e+02,3.180000000000000000e+02
2.100000000000000000e+01,2.630000000000000000e+02,3.160000000000000000e+02
2.200000000000000000e+01,2.620000000000000000e+02,3.130000000000000000e+02
2.300000000000000000e+01,2.380000000000000000e+02,3.200000000000000000e+02
2.400000000000000000e+01,2.300000000000000000e+02,3.150000000000000000e+02
2.500000000000000000e+01,2.270000000000000000e+02,3.090000000000000000e+02
2.600000000000000000e+01,2.230000000000000000e+02,3.010000000000000000e+02
2.700000000000000000e+01,2.300000000000000000e+02,2.980000000000000000e+02
2.800000000000000000e+01,2.170000000000000000e+02,2.870000000000000000e+02
2.900000000000000000e+01,1.900000000000000000e+02,2.790000000000000000e+02
3.000000000000000000e+01,1.700000000000000000e+02,2.510000000000000000e+02
3.100000000000000000e+01,1.510000000000000000e+02,2.140000000000000000e+02
3.200000000000000000e+01,7.600000000000000000e+01,2.410000000000000000e+02
3.300000000000000000e+01,1.000000000000000000e+00,1.860000000000000000e+02
