idx,name,date,width,temperature,type
0,drying_take_1_100x.mov,04.04.2025,2.8,20,WT_unwashed # 0.88 for the bsla leather
0,drying_take_2_100x.mov,04.04.2025,2.8,120,WT_unwashed # 0.88 for the bsla leather
